,video_id,video_title,upload_date,view_count,like_count,comment_count
0,9oNY9EV3MiM,Speed up your Python Data Manipulation with Lambda Filter Function,2023-02-28,438,12,0
1,YN-5NQO4iSU,Solving Amazon Interview Questions with Lambda Filter Function in Python,2023-02-22,585,29,2
2,ltzJhIs8voQ,Mastering SQL String Manipulation with Regex_split_to_table() function,2023-02-21,311,22,0
3,BgN5hpl3WKc,Solving a Tricky Google SQL Question with String Manipulation,2023-02-16,823,35,4
4,GxR66KdqBFU,Analyzing Datasets with Window Functions: First Value Syntax and Examples,2023-02-16,394,12,0
5,-KXluZNAYrA,Window Function in SQL: A Step-by-Step Guide to Solve Amazon Interview Question,2023-02-08,973,41,7
6,Xzr7PMeqXyU,Crush Your Data Science Interview: Master Group By and Aggregate Functions in Python,2023-02-07,363,18,1
7,f-9SnlALFac,Group By amp; Aggregate Functions to Solve Python Coding Questions,2023-02-01,613,31,3
8,iN9H3Bau05k,Airbnb Python Coding Practice for Interview,2023-01-31,1433,51,0
9,_XbrEcgQYSA,How to Use the Lambda Function in Python to Solve Interview Questions,2023-01-25,781,25,3
10,pqQG_tNXncc,Classical Machine Learning [DoorDash Data Science Project],2023-01-18,1425,48,2
11,g7Lt_Kqn0wA,Hard SQL Interview Question from Wine Magazine,2023-01-17,380,14,0
12,vdmCxvaRdLU,Using Rank() and PARTITIONs in SQL To Solve Complex SQL Interview Questions,2023-01-11,1607,54,6
13,A1U4TPxZ0CE,Correlation Matrix in Python to Solve a DoorDash Data Science Task,2023-01-10,475,25,0
14,gh5JzALBQvU,How To Handle Multicollinearity and Feature Selection [DoorDash Data Science Project],2023-01-04,1513,66,7
15,m3zEV10qvE8,Collinearity and Removing Redundancies [DoorDash Data Science Project],2022-12-29,1038,46,4
16,G7fvAkj9gQs,How to Build a DoorDash Prediction Model with Python,2022-12-28,604,28,0
17,Sf6jn8QZHhc,Data Preparation for Modeling [DoorDash Data Science Project],2022-12-22,2034,64,18
18,AM4nPwvUtTo,Python Data Science Projects for Beginners - Boost Your Portfolio in 2023,2022-12-15,1927,123,5
19,Vt-POo9tEB8,Spotify Days At Number One SQL Question,2022-12-07,492,20,0
20,93quPoReV1M,SQL Solution to SPOTIFY Days At Number One Question,2022-12-01,2275,93,5
21,6xo0cn0BpKs,How to Solve a Forbes Interview Question Using the Sample() Function,2022-11-30,605,16,0
22,a8T88wCrmAQ,Solving FORBES Coding Interview Questions in PYTHON: 3 Simple Steps!,2022-11-28,1407,56,9
23,i80pkW8YeKI,Data Provides vs Data Users: Choose Your Job in Data Science,2022-11-16,632,17,2
24,yoUO84tOH3c,Edge Case Alert in Python Interview Question Solving [Part 2],2022-11-14,378,12,0
25,qbN_t6sh4_E,Data Science Job Types amp; Careers,2022-11-11,676,31,3
26,9quwCoQ6CoU,Meta Product Families: head() Function to Explore the Data [Part 1],2022-11-09,242,5,0
27,RmMuS5iiviI,Python Pandas Techniques In A Meta Data Science Interview,2022-11-03,1315,50,0
28,bppeYE-VUSQ,Data Science Interview Simple Tips: How to Answer the Additional Question,2022-10-31,600,26,0
29,0EKPN19Y9MA,How many Twitch viewers became streamers? A SQL coding question,2022-10-26,336,13,0
30,vQmk0bH25d0,[Part 2] EDGE Cases in Data Analysis: How to Reduce the Risk of Missing Important Details,2022-10-22,371,4,0
